80 5 4
0.55 0.95 0.94 101001000
0.69 0.2833333333333333 0.68 100101000
0.3775 0.2833333333333333 0.08 011000010
0.2775 0.55 0.36 010100100
0.675 0.7166666666666667 0.14 011001000
0.0525 0.9833333333333333 0.7 010010001
0.21 0.7 0.94 101000010
0.2125 0.8833333333333333 0.54 011000001
0.63 0.6666666666666666 0.9 010011000
0.825 0.03333333333333333 0.76 011000010
0.2825 0.8333333333333334 0.7 101000010
0.88 0.8833333333333333 0.28 100011000
0.925 0.8166666666666667 0.6 010101000
0.525 0.08333333333333333 0.6 100101000
0.325 0.6833333333333333 0.14 101000010
0.2125 0.6333333333333333 0.5 010100100
0.775 0.3 0.44 011000100
0.0875 0.5666666666666667 0.64 100010001
0.15 0.75 0.04 100100010
0.4025 0.36666666666666664 0.54 010010001
0.14 0.9 0.78 011000001
0.5625 0.3 0.94 011001000
0.4275 0.9833333333333333 0.5 100100010
0.2075 0.4 0.32 010010001
0.7625 0.6 0.1 100101000
0.2875 0.08333333333333333 0.84 010010001
0.3875 0.4166666666666667 0.98 100100100
0.305 0.36666666666666664 0.6 101000010
0.9 0.08333333333333333 0.7 010011000
0.7025 0.3333333333333333 0.66 101001000
0.65 0.18333333333333332 0.34 010100100
0.8075 0.1 0.84 100101000
0.925 0.25 0.0 010100100
0.1125 0.08333333333333333 0.92 011000010
0.03 0.25 0.76 010100100
0.145 0.35 0.42 100010001
0.625 0.16666666666666666 0.98 101001000
0.335 0.26666666666666666 0.16 100010001
0.025 0.5666666666666667 0.16 101000010
0.155 0.38333333333333336 0.32 101000010
0.0875 0.03333333333333333 0.88 010100100
0.2575 0.8 0.16 010010001
0.1275 0.2833333333333333 0.24 010100100
0.44 0.5166666666666667 0.5 011000010
0.04 0.5333333333333333 0.76 100010001
0.36 0.4666666666666667 0.14 100100100
0.165 0.11666666666666667 0.42 100100100
0.2625 0.4166666666666667 0.66 101000010
0.9375 0.21666666666666667 0.9 010011000
0.155 0.23333333333333334 0.22 100010001
0.38 0.016666666666666666 0.06 010010001
0.95 0.31666666666666665 0.8 010011000
0.2375 0.75 0.28 100011000
0.4725 0.6833333333333333 0.04 011000001
0.525 0.11666666666666667 0.56 100010100
0.0875 0.9333333333333333 0.62 100010010
0.15 0.7 0.36 010011000
0.175 0.2 0.52 011000010
0.3675 0.95 0.24 011000001
0.275 0.8666666666666667 0.5 010100001
0.43 0.06666666666666667 0.06 100100100
0.65 0.5833333333333334 0.42 010010010
0.6075 0.85 0.34 101001000
0.1325 0.05 0.84 101000010
0.855 0.18333333333333332 0.04 010010100
0.435 0.6333333333333333 0.96 010010001
0.5875 0.03333333333333333 0.3 101000100
0.6275 0.05 0.14 101000100
0.425 0.75 0.94 010100001
0.375 0.8 0.34 100010010
0.3 0.5333333333333333 0.68 100100100
0.65 0.08333333333333333 0.52 100100010
0.8075 0.16666666666666666 0.02 010010100
0.025 0.7833333333333333 0.54 101000010
0.575 0.38333333333333336 0.84 101001000
0.775 0.4166666666666667 0.52 100101000
0.885 0.23333333333333334 0.22 010100100
0.0975 0.9166666666666666 0.84 100100010
0.1375 0.7833333333333333 0.4 010100001
0.29 0.6333333333333333 0.28 101000010
